,Tag Id,Test Date,Ambient Bias mVdc,Max Deviation from Amb mVdc,Min Deviation from Amb mVdc,Pk-Pk mVdc,Max Deviation after Calibration,Min Deviation after Calibration,Meets -105 temp spec,Meets -106 temp spec,-105 Post-Calibration meets temp spec,-106 Post-Calibration meets temp spec
0,J7947,06/02/2021 07:56:48 PM,-4.880477,0.648946,-0.656612,1.305558,0.6474106108854284,-0.49617245177620456,True,False,True,False
1,J7976,06/02/2021 07:56:48 PM,0.22856210000000002,4.8094139,-2.4023791,7.211793000000001,0.4366529344307663,-0.9117442915302335,False,False,True,False
2,J7977,06/02/2021 07:56:48 PM,5.463133999999999,3.8198980000000002,-2.1365269999999996,5.956424999999999,0.2593303090365831,-0.5429966569127139,False,False,True,False
3,J7986,06/02/2021 07:56:48 PM,1.977627,2.549162,-11.939543,14.488705,1.7436087142126953,-4.287726743869305,False,False,False,False
4,J7937,06/02/2021 07:56:48 PM,-4.527539,0.6838209999999998,-0.8735940000000001,1.557415,0.6614110755221695,-0.8241070782975032,True,False,True,False
5,J7941,06/02/2021 07:56:48 PM,-7.694732999999999,0.4171829999999998,-0.9542510000000006,1.3714340000000003,0.5903100707316004,-0.6005443302810818,True,False,True,False
6,J7944,06/02/2021 07:56:48 PM,8.342949,0.18470299999999962,-0.6848410000000003,0.8695439999999999,0.23605595226832907,-0.24892763258115708,True,False,True,True
7,J7933,06/02/2021 07:56:48 PM,-8.102618000000001,2.5424830000000007,-1.889821,4.432304,0.3389578464276406,-0.5268393577134087,False,False,True,False
8,J7934,06/02/2021 07:56:48 PM,-4.054329,0.39995699999999984,-0.152564,0.5525209999999998,0.2381261159281286,-0.20975022267692883,True,True,True,True
9,J7935,06/02/2021 07:56:48 PM,-11.30246,1.5584830000000012,-1.4690899999999993,3.0275730000000003,1.6476119146460657,-1.3006411740143844,True,False,True,False
10,J7903,06/02/2021 07:56:48 PM,1.281365,0.11902899999999988,-0.7573152,0.8763441999999999,0.30839748699177066,-0.5817838889542394,True,False,True,False
11,J7908,06/02/2021 07:56:48 PM,2.625544,0.34642299999999976,-0.7039540000000001,1.050377,0.40773641692220697,-0.40343684285775067,True,False,True,True
12,J7901,06/02/2021 09:24:52 AM,6.462796,4.620773999999999,-2.305817,6.926590999999999,0.4733852107059733,-0.9198241129754515,False,False,True,False
13,J7939,06/02/2021 09:24:52 AM,1.725958,1.890779,-1.2261214,3.1169004,0.2833441667373653,-0.34514234847381026,True,False,True,True
14,J8016,06/02/2021 09:24:52 AM,0.9577034,2.6385066,-1.7928481,4.4313547,0.7929535587792164,-1.2220099358986647,False,False,True,False
15,J8017,06/02/2021 09:24:52 AM,3.334526,1.4047679999999998,-0.49124,1.896008,0.8755673087212429,-0.818893715978354,True,False,True,False
16,J8021,06/02/2021 09:24:52 AM,11.364930000000001,0.8827200000000001,-5.6693050000000005,6.552025,1.0845239608900346,-1.447164316900118,False,False,True,False
17,J8022,06/02/2021 09:24:52 AM,1.982616,2.937305,-2.0151723699999997,4.9524773699999995,1.0293351799083428,-1.094763677810029,False,False,True,False
18,J8023,06/02/2021 09:24:52 AM,9.258875,2.906075000000001,-4.121036,7.0271110000000006,2.069679964110843,-1.6874231709476983,False,False,False,False
19,J8025,06/02/2021 09:24:52 AM,6.381422000000001,4.601388000000001,-8.742358000000001,13.343746,1.211244946081877,-1.1151711713525128,False,False,True,False
20,J8036,06/02/2021 09:24:52 AM,-1.7024679999999999,4.536735,-2.144374,6.681109,1.5033617451314585,-2.018446262387348,False,False,False,False
21,J8038,06/02/2021 09:24:52 AM,4.013958,3.8697390000000005,-1.8680639999999995,5.7378029999999995,0.6850039977897961,-0.9503688246432825,False,False,True,False
22,J8039,06/02/2021 09:24:52 AM,-4.424613,3.3147339999999996,-2.201846,5.51658,0.9329366504787898,-1.0459992231526922,False,False,True,False
23,J8040,06/02/2021 09:24:52 AM,2.486821,7.160583999999999,-1.6150702000000001,8.7756542,5.416064158025814,-2.3835418161892545,False,False,False,False
24,J8041,06/02/2021 09:24:52 AM,12.71831,1.3758999999999992,-2.999102,4.375001999999999,1.3243280823271273,-1.3138843296722178,False,False,True,False
25,J8042,06/02/2021 09:24:52 AM,-3.632133,2.530357,-1.4694629999999997,3.9998199999999993,0.344692561942844,-0.455092913268766,False,False,True,True
26,J8019,06/02/2021 09:24:52 AM,-0.9132654,2.3065454,-1.1095056,3.416051,0.9129340317153547,-1.2897597911351515,False,False,True,False
27,J8020,06/02/2021 09:24:52 AM,-2.223321,0.9332049999999998,-5.298808,6.232012999999999,1.3395835103138911,-1.5491026966033568,False,False,True,False
28,J8024,06/02/2021 09:24:52 AM,-3.9790320000000006,1.9684510000000004,-1.4640289999999996,3.43248,1.670885543948934,-1.622243546934222,True,False,True,False
